speech_type,model,rank,source_pos,destination_pos,pair,count,percentage,category_error_rate
read,chirp,1,NUM,DET,NUM -> DET,329,4.0693,0.389810
read,chirp,2,X,ADP,X -> ADP,5,0.0618,0.208333
read,chirp,3,INTJ,PRON,INTJ -> PRON,11,0.1361,0.186441
read,chirp,4,NOUN,NOUN,NOUN -> NOUN,1350,16.6976,0.144447
read,chirp,5,PROPN,NOUN,PROPN -> NOUN,137,1.6945,0.131858
read,chirp,6,VERB,VERB,VERB -> VERB,501,6.1967,0.116349
read,chirp,7,NUM,ADP,NUM -> ADP,71,0.8782,0.084123
read,chirp,8,ADJ,ADJ,ADJ -> ADJ,286,3.5374,0.079290
read,chirp,9,SYM,NOUN,SYM -> NOUN,25,0.3092,0.076687
read,chirp,10,CCONJ,DET,CCONJ -> DET,125,1.5461,0.075347
read,whisper,1,NUM,DET,NUM -> DET,344,3.7719,0.407583
read,whisper,2,NOUN,NOUN,NOUN -> NOUN,1621,17.7741,0.173443
read,whisper,3,PROPN,NOUN,PROPN -> NOUN,140,1.5351,0.134745
read,whisper,4,X,ADP,X -> ADP,3,0.0329,0.125000
read,whisper,5,X,DET,X -> DET,3,0.0329,0.125000
read,whisper,6,INTJ,PRON,INTJ -> PRON,7,0.0768,0.118644
read,whisper,7,VERB,VERB,VERB -> VERB,482,5.2851,0.111937
read,whisper,8,ADJ,ADJ,ADJ -> ADJ,309,3.3882,0.085667
read,whisper,9,X,NUM,X -> NUM,2,0.0219,0.083333
read,whisper,10,SYM,NOUN,SYM -> NOUN,27,0.2961,0.082822
hmi,chirp,1,PUNCT,INTJ,PUNCT -> INTJ,1,0.0247,1.000000
hmi,chirp,2,NUM,DET,NUM -> DET,65,1.6061,0.213816
hmi,chirp,3,X,PRON,X -> PRON,2,0.0494,0.200000
hmi,chirp,4,NOUN,NOUN,NOUN -> NOUN,413,10.2051,0.132840
hmi,chirp,5,PROPN,PROPN,PROPN -> PROPN,93,2.2980,0.117871
hmi,chirp,6,SYM,PRON,SYM -> PRON,29,0.7166,0.102473
hmi,chirp,7,X,ADV,X -> ADV,1,0.0247,0.100000
hmi,chirp,8,X,INTJ,X -> INTJ,1,0.0247,0.100000
hmi,chirp,9,X,VERB,X -> VERB,1,0.0247,0.100000
hmi,chirp,10,ADJ,ADJ,ADJ -> ADJ,151,3.7312,0.088667
hmi,whisper,1,NUM,DET,NUM -> DET,75,1.5940,0.246711
hmi,whisper,2,NOUN,NOUN,NOUN -> NOUN,496,10.5420,0.159537
hmi,whisper,3,PROPN,NOUN,PROPN -> NOUN,88,1.8704,0.111534
hmi,whisper,4,ADJ,ADJ,ADJ -> ADJ,174,3.6982,0.102173
hmi,whisper,5,X,ADP,X -> ADP,1,0.0213,0.100000
hmi,whisper,6,X,AUX,X -> AUX,1,0.0213,0.100000
hmi,whisper,7,X,INTJ,X -> INTJ,1,0.0213,0.100000
hmi,whisper,8,X,PRON,X -> PRON,1,0.0213,0.100000
hmi,whisper,9,SYM,PRON,SYM -> PRON,28,0.5951,0.098940
hmi,whisper,10,PRON,PRON,PRON -> PRON,274,5.8236,0.085679
